Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
7 SERIES,2010,South America,Blue,Hybrid,Automatic,3.4,169022,110072,3588,Low
X3,2012,South America,Red,Diesel,Automatic,4.6,71247,46723,1251,Low
X1,2011,Asia,Grey,Electric,Automatic,4.9,133987,98433,9105,High
M5,2012,Asia,Grey,Hybrid,Automatic,4.3,124001,82901,222,Low
X6,2011,South America,Blue,Petrol,Manual,3.0,169730,86385,9968,High
X3,2011,Middle East,Grey,Hybrid,Automatic,2.2,59103,46517,9462,High
X6,2011,Africa,White,Diesel,Manual,4.8,35394,102034,4455,Low
I3,2010,Europe,Red,Petrol,Automatic,1.8,126567,46702,7510,High
X1,2010,Africa,Black,Diesel,Automatic,5.0,37731,33141,5113,Low
I8,2012,Middle East,Red,Electric,Automatic,4.6,144778,108406,993,Low
I8,2011,North America,Silver,Diesel,Automatic,2.5,129520,38071,8143,High
X3,2013,Africa,Black,Electric,Automatic,3.0,159170,119954,6751,Low
M5,2013,Africa,Grey,Hybrid,Manual,2.9,33669,93884,6440,Low
7 SERIES,2010,North America,White,Petrol,Manual,1.7,56052,99698,992,Low
I3,2012,Asia,Black,Petrol,Automatic,4.7,192413,114851,1342,Low
M3,2011,North America,Red,Electric,Automatic,1.7,119960,56835,6900,Low
X6,2011,North America,White,Electric,Automatic,1.6,129451,104447,6145,Low
I3,2012,Asia,Grey,Electric,Manual,4.4,25251,87697,4050,Low
X3,2010,North America,Red,Electric,Automatic,1.5,40927,62008,7502,High
M5,2013,Africa,Blue,Petrol,Automatic,2.6,133161,36902,7598,High
X3,2014,Europe,Red,Electric,Automatic,2.0,37967,64069,4747,Low
X5,2010,North America,Black,Petrol,Automatic,2.6,14396,60636,2341,Low
5 SERIES,2014,Africa,White,Electric,Automatic,4.8,58754,110517,3292,Low
X5,2014,Middle East,Silver,Hybrid,Automatic,1.5,149506,30135,9888,High
X1,2013,Africa,Grey,Diesel,Automatic,1.8,105554,49663,7193,High
I8,2013,Middle East,Grey,Diesel,Automatic,3.6,39970,92250,6734,Low
3 SERIES,2012,South America,Red,Hybrid,Automatic,3.0,122231,92873,5227,Low
7 SERIES,2013,Middle East,Red,Petrol,Manual,3.9,119461,109866,9809,High
X1,2011,South America,Blue,Hybrid,Manual,2.3,191856,42968,8538,High
X3,2012,Middle East,White,Hybrid,Manual,1.6,123560,58086,1733,Low
X6,2010,Middle East,Black,Petrol,Automatic,3.6,3514,68930,7739,High
5 SERIES,2012,Africa,Blue,Electric,Automatic,1.9,117047,35004,2434,Low
X1,2014,Middle East,Black,Petrol,Manual,3.6,136787,64990,2399,Low
I3,2014,South America,Blue,Petrol,Manual,2.6,85185,114354,7868,High
3 SERIES,2014,Africa,Blue,Electric,Automatic,2.6,197439,60352,3348,Low
5 SERIES,2010,Africa,Grey,Diesel,Manual,1.7,195818,96809,184,Low
X3,2010,Middle East,Red,Diesel,Automatic,4.7,10558,115843,5457,Low
I3,2011,Middle East,Silver,Electric,Automatic,4.2,172246,61625,3251,Low
X3,2014,Africa,Red,Diesel,Automatic,1.8,116237,41969,1244,Low
X1,2010,Europe,Blue,Petrol,Automatic,3.6,126235,59752,8657,High
7 SERIES,2014,South America,Red,Hybrid,Automatic,4.4,69018,75481,4908,Low
X3,2012,Middle East,Silver,Diesel,Manual,3.9,186088,83549,2331,Low
5 SERIES,2012,Europe,Black,Electric,Manual,4.5,36826,106372,3803,Low
I3,2014,Asia,Black,Diesel,Manual,1.8,190726,100453,3316,Low
X5,2014,Europe,Grey,Hybrid,Manual,4.8,187195,41296,7699,High
I8,2010,Europe,White,Petrol,Automatic,4.7,165927,114137,923,Low
X1,2013,Middle East,Silver,Electric,Automatic,1.6,78178,101679,3344,Low
5 SERIES,2014,North America,Grey,Hybrid,Automatic,2.0,102714,32116,1782,Low
X5,2014,Asia,White,Diesel,Automatic,4.7,106658,47201,8051,High
I8,2013,Asia,Black,Diesel,Manual,2.6,121993,60810,2862,Low
M3,2010,South America,Blue,Petrol,Automatic,4.3,191728,54325,9996,High
M3,2014,Asia,Grey,Electric,Automatic,4.6,133780,88568,7632,High
M3,2014,Middle East,Black,Petrol,Automatic,4.4,71014,106337,5749,Low
I8,2013,Asia,White,Electric,Manual,2.0,100480,113894,3656,Low
M3,2011,Africa,White,Electric,Automatic,4.9,119981,95058,1840,Low
I3,2013,Asia,Red,Electric,Automatic,1.7,160894,95155,7603,High
M5,2012,North America,Grey,Electric,Automatic,2.3,157101,35561,3859,Low
M3,2010,Africa,Red,Electric,Manual,4.0,15805,45507,1697,Low
X5,2014,North America,Red,Petrol,Manual,3.2,112616,65146,7877,High
X5,2013,South America,Grey,Petrol,Manual,3.5,149677,95650,3481,Low
M3,2011,South America,Black,Electric,Manual,4.7,101736,37291,2791,Low
I3,2010,Europe,Blue,Hybrid,Automatic,3.7,101647,96374,8225,High
X1,2013,Middle East,White,Electric,Manual,2.2,54388,96502,423,Low
I8,2011,Asia,White,Hybrid,Automatic,2.5,62983,93444,6870,Low
I3,2012,Middle East,White,Petrol,Manual,3.4,124343,47777,2316,Low
3 SERIES,2010,Africa,Red,Diesel,Automatic,4.1,123015,105114,8248,High
I8,2010,Asia,White,Electric,Automatic,2.1,71119,59940,9535,High
X6,2012,Europe,Black,Diesel,Automatic,3.9,131425,67268,1689,Low
M5,2014,Europe,Silver,Diesel,Automatic,1.7,134005,44431,7143,High
X5,2012,Middle East,White,Diesel,Automatic,2.8,130556,88294,9092,High
X6,2010,South America,Silver,Petrol,Manual,2.0,45708,43547,6936,Low
X5,2010,Asia,Black,Diesel,Manual,1.7,140291,61697,9927,High
I3,2011,Middle East,Blue,Petrol,Automatic,2.0,139395,82166,8969,High
5 SERIES,2012,Asia,Blue,Petrol,Automatic,1.6,33615,53341,3208,Low
I3,2011,North America,Red,Diesel,Manual,2.3,145432,90524,9651,High
X5,2012,North America,Red,Hybrid,Automatic,1.8,19879,119903,3241,Low
X1,2010,Middle East,Grey,Diesel,Manual,4.5,26493,107374,6025,Low
X6,2011,Asia,Red,Hybrid,Automatic,3.9,53224,116905,371,Low
5 SERIES,2012,North America,Red,Electric,Automatic,3.7,121730,39556,8864,High
7 SERIES,2013,Europe,Grey,Diesel,Manual,3.0,64985,80565,1887,Low
7 SERIES,2014,North America,Red,Hybrid,Automatic,4.4,165056,117738,6126,Low
M5,2011,Middle East,White,Electric,Manual,4.8,158280,98458,5606,Low
I8,2013,Asia,Black,Diesel,Manual,2.7,172965,46246,6281,Low
M3,2014,South America,Red,Petrol,Manual,4.7,108564,74783,9260,High
7 SERIES,2013,North America,Silver,Petrol,Automatic,2.1,184827,35013,2042,Low
M3,2014,Europe,Red,Petrol,Automatic,4.7,177247,75199,6032,Low
X3,2012,South America,Silver,Hybrid,Manual,1.6,97006,118641,6923,Low
X1,2010,Asia,Red,Diesel,Manual,2.7,198600,100180,8350,High
5 SERIES,2012,South America,Black,Petrol,Manual,3.5,13804,44482,4875,Low
X6,2013,South America,Blue,Electric,Automatic,1.6,172249,86584,5441,Low
I3,2011,Middle East,Red,Electric,Manual,3.6,134576,114475,5900,Low
X1,2010,Africa,White,Hybrid,Manual,3.3,46370,94337,5174,Low
M5,2014,Middle East,White,Diesel,Automatic,2.8,46000,103494,796,Low
M3,2010,North America,Grey,Diesel,Automatic,2.1,192673,65837,8764,High
I3,2012,South America,Grey,Petrol,Manual,1.8,180582,61076,6824,Low
M3,2010,South America,Grey,Electric,Automatic,4.2,18409,72000,7780,High
3 SERIES,2010,North America,Black,Diesel,Automatic,1.8,172040,45092,6364,Low
X1,2013,Africa,Red,Diesel,Automatic,3.8,149031,91146,1446,Low
X3,2012,Middle East,White,Diesel,Manual,4.5,147898,90928,9037,High
5 SERIES,2010,Europe,Silver,Petrol,Manual,4.2,114337,105608,8257,High
X3,2013,North America,Red,Electric,Automatic,3.8,24884,111712,4882,Low
X6,2012,Europe,Grey,Diesel,Automatic,4.9,194801,84285,5711,Low
X6,2013,Asia,Silver,Petrol,Automatic,2.2,12341,100299,3667,Low
M3,2012,South America,Silver,Hybrid,Automatic,1.9,197184,53111,9739,High
7 SERIES,2014,Africa,Grey,Diesel,Automatic,3.8,186802,96987,4362,Low
I3,2014,Africa,Black,Diesel,Manual,2.1,62836,38101,874,Low
X1,2012,Europe,Grey,Petrol,Automatic,4.3,32552,38185,9361,High
X6,2013,Asia,Black,Electric,Automatic,2.8,167664,95762,978,Low
X5,2014,Europe,Silver,Petrol,Automatic,2.6,85840,57668,2823,Low
I3,2013,North America,Grey,Petrol,Automatic,1.8,101623,80525,6481,Low
7 SERIES,2014,Middle East,Black,Petrol,Manual,2.6,103494,113211,7490,High
3 SERIES,2014,South America,Blue,Hybrid,Manual,3.8,31044,65616,7858,High
I3,2014,South America,Black,Hybrid,Manual,1.5,10138,90196,3804,Low
X3,2012,Africa,White,Electric,Manual,4.0,191413,78281,4594,Low
5 SERIES,2011,South America,Blue,Electric,Manual,1.9,49153,96884,7612,High
7 SERIES,2010,Asia,Black,Electric,Manual,4.3,64338,117253,5167,Low
I8,2011,North America,Red,Diesel,Automatic,2.9,3475,74501,1068,Low
5 SERIES,2011,North America,Red,Diesel,Automatic,4.7,71582,109162,7163,High
X5,2014,Middle East,Black,Electric,Manual,4.9,199447,43917,6265,Low
5 SERIES,2014,Middle East,Blue,Diesel,Manual,4.6,47231,48063,4290,Low
3 SERIES,2012,South America,Blue,Petrol,Automatic,1.5,16727,118687,8639,High
X1,2010,Middle East,White,Diesel,Manual,1.9,101542,101559,5894,Low
X1,2013,North America,Black,Electric,Automatic,4.4,11643,70164,5456,Low
7 SERIES,2010,Middle East,Red,Petrol,Automatic,2.8,199290,102260,2200,Low
X6,2013,South America,Red,Electric,Automatic,3.1,78042,35545,2595,Low
5 SERIES,2013,Europe,Grey,Petrol,Manual,2.4,38281,84501,8836,High
X3,2012,Middle East,White,Diesel,Automatic,2.9,35115,40694,6713,Low
3 SERIES,2012,North America,Silver,Petrol,Manual,3.0,40000,79236,9303,High
X1,2012,South America,Blue,Electric,Automatic,3.6,128637,76331,6934,Low
I8,2011,Asia,Silver,Electric,Automatic,4.6,195288,85282,2967,Low
I8,2013,Middle East,Red,Electric,Automatic,2.8,68617,99825,6709,Low
I8,2010,Europe,White,Diesel,Automatic,2.6,191717,88283,7317,High
7 SERIES,2012,South America,Blue,Diesel,Automatic,2.7,78103,68117,3012,Low
M3,2010,South America,Blue,Petrol,Manual,1.6,21078,55022,6374,Low
M5,2010,Africa,White,Hybrid,Automatic,4.1,140387,80402,4766,Low
I8,2014,Africa,Blue,Diesel,Manual,3.0,85535,113241,9160,High
5 SERIES,2014,Middle East,Silver,Petrol,Manual,3.3,193006,56363,1878,Low
I8,2014,South America,Black,Diesel,Manual,3.0,79503,64984,5106,Low
7 SERIES,2014,Middle East,White,Hybrid,Manual,1.6,191167,62516,4287,Low
M3,2013,Middle East,Blue,Hybrid,Manual,2.3,124441,93080,6979,Low
M3,2012,Asia,Blue,Electric,Manual,3.1,59715,106799,7318,High
7 SERIES,2012,Middle East,Blue,Electric,Manual,3.9,81509,110453,3265,Low
X1,2013,Middle East,Blue,Petrol,Automatic,2.3,197229,103605,1284,Low
3 SERIES,2011,Europe,White,Electric,Automatic,2.6,14540,30328,4360,Low
X1,2010,Europe,Black,Electric,Manual,4.6,147607,104754,1526,Low
X1,2010,South America,Red,Diesel,Automatic,2.6,18447,39344,7772,High
3 SERIES,2014,Europe,White,Hybrid,Automatic,3.9,4318,64579,8848,High
I8,2012,Middle East,White,Petrol,Automatic,4.7,18803,64391,364,Low
I8,2014,South America,Blue,Electric,Manual,2.9,186497,65060,3768,Low
X6,2013,Africa,Black,Diesel,Automatic,3.9,153804,115317,5523,Low
X3,2011,North America,Black,Hybrid,Automatic,2.5,139511,37168,5499,Low
I8,2014,Asia,White,Diesel,Manual,4.4,130314,35639,2799,Low
X1,2013,Europe,Blue,Electric,Automatic,4.1,130922,52822,8833,High
M5,2010,Africa,Black,Petrol,Manual,2.8,185177,70027,4578,Low
3 SERIES,2010,North America,Silver,Hybrid,Manual,2.5,136265,98452,7885,High
M3,2014,Asia,Grey,Diesel,Manual,3.8,44713,56712,1738,Low
7 SERIES,2013,Middle East,Red,Diesel,Automatic,3.8,107778,103737,2794,Low
I3,2012,Middle East,White,Petrol,Manual,4.0,171574,34505,3245,Low
X3,2011,Europe,Blue,Hybrid,Manual,2.0,17853,97419,6984,Low
I8,2012,Middle East,White,Petrol,Automatic,1.9,97697,110826,6713,Low
X1,2014,Africa,Silver,Diesel,Automatic,4.9,25752,70903,3054,Low
7 SERIES,2011,Asia,Grey,Petrol,Automatic,4.1,108596,101241,1535,Low
7 SERIES,2011,Asia,Blue,Diesel,Automatic,4.5,95753,48790,7342,High
X3,2014,South America,White,Hybrid,Manual,4.1,29824,89522,7315,High
5 SERIES,2010,Asia,Blue,Hybrid,Manual,2.4,41747,91955,7263,High
3 SERIES,2010,Middle East,Blue,Diesel,Automatic,1.7,149295,109920,6039,Low
X3,2011,South America,Black,Petrol,Automatic,3.2,3555,63102,987,Low
M3,2010,Asia,Blue,Hybrid,Automatic,3.3,141383,84591,8926,High
X3,2014,Middle East,Grey,Petrol,Automatic,3.0,43177,98481,8961,High
I3,2010,Middle East,Silver,Hybrid,Manual,3.5,163763,57271,8319,High
5 SERIES,2010,South America,Blue,Diesel,Automatic,4.0,177240,37456,2271,Low
I8,2011,Africa,Red,Hybrid,Automatic,2.8,125267,108465,9086,High
3 SERIES,2012,Africa,Grey,Electric,Manual,2.3,102142,42310,2538,Low
5 SERIES,2010,North America,Black,Electric,Manual,1.7,191728,112676,8052,High
X3,2014,Asia,Blue,Hybrid,Manual,2.5,148863,64510,1693,Low
X5,2010,South America,Blue,Diesel,Manual,4.4,18925,82819,1701,Low
3 SERIES,2014,North America,Red,Diesel,Automatic,4.0,49607,119039,9021,High
X6,2014,Asia,Black,Petrol,Manual,4.7,165214,113268,1777,Low
X5,2012,Africa,Silver,Hybrid,Manual,2.1,121128,74402,5427,Low
X3,2014,North America,Red,Diesel,Manual,3.0,140851,39388,8413,High
X1,2014,Europe,Blue,Electric,Automatic,3.0,197977,65328,3997,Low
I8,2014,North America,Black,Diesel,Automatic,2.2,147408,104408,4135,Low
7 SERIES,2014,Asia,Black,Hybrid,Manual,2.0,43518,62793,1142,Low
5 SERIES,2012,Africa,Grey,Electric,Manual,2.9,31446,53591,9961,High
M5,2010,Middle East,Blue,Hybrid,Automatic,1.7,112536,50314,8619,High
M5,2014,North America,Black,Electric,Manual,4.0,179185,48803,5774,Low
M5,2010,Asia,Blue,Electric,Manual,4.0,164797,32353,3422,Low
X5,2012,Asia,Silver,Hybrid,Automatic,4.4,148264,117863,632,Low
X6,2013,Asia,Silver,Electric,Manual,2.6,144099,97680,4229,Low
5 SERIES,2010,North America,Red,Hybrid,Manual,4.8,191633,57319,5342,Low
M3,2010,Middle East,Red,Electric,Automatic,3.7,68021,82369,1538,Low
